"V1" "V2"
"1" "FID" "Leu"
"2" "HP202" "29.3"
"3" "L62-880" "26.3"
"4" "Baiqidawandou" "27"
"5" "L66-721" "26.1"
"6" "L73-67" "27"
"7" "L64-4103" "24.3"
"8" "L67-1695" "26.4"
"9" "L67-949" "25.9"
"10" "L62-906" "29.5"
"11" "L70-6494" "25.2"
"12" "L62-956" "23.4"
"13" "Kaohsiung 1" "27.1"
"14" "Jindou 15" "27.2"
"15" "Newton" "22.8"
"16" "Huangdou 2" "19.9"
"17" "Jidou 7" "21.3"
"18" "Zhongdou 36" "31.6"
"19" "L73-54" "27.9"
"20" "Banyesheng" "22"
"21" "Xudou 10" "23.7"
"22" "Ludou 4" "24.8"
"23" "L77-1727" "23"
"24" "Zaoshu 6 hao" "23.7"
"25" "L72-1078" "18.5"
"26" "Zhonghuang 13" "29.8"
"27" "Zhonghuang 4" "23.2"
"28" "Zhonghuang 10" "27.6"
"29" "Dadunxiaoheidou" "20.5"
"30" "Jihuang13" "20.5"
"31" "Zhongzuo 00-484" "21.3"
"32" "Zhongzuo 97-1121" "19.5"
"33" "Jindou 13" "18.1"
"34" "Zhongzuo 983" "19.9"
"35" "Xiaohuangdou" "19.4"
"36" "8588" "21.1"
"37" "L68-582" "17.8"
"38" "Shengli 3" "23.1"
"39" "Zhongzuo 00-683" "19.5"
"40" "Zhonghuang 27" "22.9"
"41" "Jian 31" "32.3"
"42" "L69-4267" "20"
"43" "Jidou12" "20.9"
"44" "Qingkeyuandou" "21.8"
"45" "Amcor 89" "22.7"
"46" "Zhongzuo 96-954" "21"
"47" "Maoyandou" "20.4"
"48" "Kenwood" "20.8"
"49" "Zhongdou 27" "21.4"
"50" "Tuyandou" "24.8"
"51" "L84-307" "20.5"
"52" "L81-4590" "23.9"
"53" "Sprite 87" "21.4"
"54" "L78-3083" "22.6"
"55" "Zhongdou 28" "23.8"
"56" "Lvcaodou" "24.7"
"57" "L82-1858" "28.5"
"58" "GR8836" "21.6"
"59" "L74-01" "23.1"
"60" "L74-221" "23.5"
"61" "Ludou 11" "19.8"
"62" "Fayette" "28.4"
"63" "Gnome" "23.1"
"64" "Lv 75" "30.2"
"65" "Zhongpindaheidou" "23"
"66" "Maoyandou" "26.2"
"67" "Zhengzhou 135" "25.5"
"68" "Elf" "24.7"
"69" "Hobbit87" "27.6"
"70" "Sijiaoqi" "24.3"
"71" "Erliheidou" "21.5"
"72" "IL2" "22.8"
"73" "Dunbar" "21.5"
"74" "Yanhuang 3" "26.1"
"75" "Peking" "28.1"
"76" "Kunitz" "24.3"
"77" "Luning 1" "23.8"
"78" "Chadou" "25.1"
"79" "Wandou 15" "27.8"
"80" "He 84-5" "24.1"
"81" "Yudou 25" "26.4"
"82" "Nanguanxiaopiqing" "30"
"83" "Lu 93748-1" "27.7"
"84" "Dabaipi" "26.7"
"85" "Sijiaoqihuangdou" "23.9"
"86" "Jidou 12-2.3" "24.9"
"87" "Pingdinghei" "23.4"
"88" "Zhonghuang 18" "23.7"
"89" "Xiaoyuanhuangdou" "25.3"
"90" "Bendidahuangdou" "26.8"
"91" "Lu 99-1" "25.9"
"92" "Yangtianxiaohuangdou" "25.6"
"93" "SS74185" "30.1"
"94" "95-5117" "24.5"
"95" "Zhonghuang 28" "25"
"96" "Jidou 12-3l" "26"
"97" "Qihuang 30" "25.7"
"98" "Zheng 92116" "26.6"
"99" "Maodou" "25.8"
"100" "Er-hej-jan" "29.9"
"101" "Jindou 31" "26.5"
"102" "Handou 5" "28.1"
"103" "Kexin 3" "27.6"
"104" "Zaofeng 1" "27.2"
"105" "Dahuangdou" "26.3"
"106" "Puhai 10" "27.2"
"107" "Zhongye 2" "26.7"
"108" "Zhonghuang 22" "26.3"
"109" "Kexin 4" "28.6"
"110" "Qihuang 1" "25.2"
"111" "Tianedan" "26.1"
"112" "Delsoy 4210" "27.5"
"113" "MN413" "25.4"
"114" "Fendou 31" "27.7"
"115" "7651-1" "25.8"
"116" "L86-1436" "26.5"
